Program Type,Program,Name,Borough/Community,Agency,Contact Number,Grade Level / Age Group,Location 1,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),"Chinese-American Planning Council, Inc/Brooklyn Branch",Brooklyn,Chinese American Planning Council,212.941.0920,High School,"4101 8th Avenue11232
(40.646131503325, -73.998442705929)",11232,40.64607,-73.998544,12,38,92,3018218,3009230009,Sunset Park East                                                           
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Chinese American Planning Council,Brooklyn,Chinese American Planning Council,(212) 941-0041 x 302,16+,"4101 8th Avenue11232
(40.646131503325, -73.998442705929)",11232,40.64607,-73.998544,12,38,92,3018218,3009230009,Sunset Park East                                                           
After-School Programs,Teen Action Program,IS 285 Meyer Levin,Brooklyn,Sports and Arts in Schools Foundation,718.451.2200 ext.107 or 973.896.1246,13 to 21,"5909 Beverly Road11203
(40.646884866645, -73.921086414637)",11203,40.646877,-73.920977,17,45,936,3104599,3047440001,Rugby-Remsen Village                                                       
After-School Programs,Out of School Time,I.S. 285 MEYER LEVIN SCHOOL,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 451-2200,Middle School,"5909 Beverley Road11203
(40.646884866645, -73.921086414637)",11203,40.646877,-73.920977,17,45,936,3104599,3047440001,Rugby-Remsen Village                                                       
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 346 ABE STARK SCHOOL,Brooklyn,New York Junior Tennis League,(718) 642-6538,OST,"1400 Pennsylvania Ave11239
(40.647521749912, -73.881546762442)",11239,40.64726,-73.881114,5,42,105804,3098294,3044520025,Starrett City                                                              
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Public School 346 - Abe Stark Elementary School,Brooklyn,Italian American Civil Rights League (Italian American Civil,718.642.2857,High School,"1400 Pennsylvania Avenue11239
(40.647521749912, -73.881546762442)",11239,40.64726,-73.881114,5,42,105804,3098294,3044520025,Starrett City                                                              
After-School Programs,Out of School Time,P.S. 346 ABE STARK SCHOOL,Brooklyn,New York Junior Tennis League,(718) 642-6538,Elementary,"1400 Pennsylvania Ave11239
(40.647521749912, -73.881546762442)",11239,40.64726,-73.881114,5,42,105804,3098294,3044520025,Starrett City                                                              
After-School Programs,Beacon,PS 181,Brooklyn,Research Foundation of CUNY,718.703.3633,6 and up,"1023 New York Avenue11226
(40.646505002304, -73.957190099144)",11203,40.648215,-73.946374,17,45,856,3327776,3049040010,East Flatbush-Farragut                                                     
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Public School 181 - John Steptoe School,Brooklyn,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6908,High School,"1023 New York Avenue11203
(40.648253402035, -73.946344475373)",11203,40.648215,-73.946374,17,45,856,3327776,3049040010,East Flatbush-Farragut                                                     
After-School Programs,Out of School Time,P.S. 130 PARKSIDE SCHOOL,Brooklyn,"University Settlement Society of New York, Inc",(917) 828-6377,Elementary,"70 OCEAN PARKWAY11218
(40.649225679206, -73.975748310895)",11218,40.648884,-73.975607,7,39,500,3124019,3053190001,Windsor Terrace                                                            
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 130 PARKSIDE SCHOOL,Brooklyn,"University Settlement Society of New York, Inc",(917) 828-6377,OST,"70 OCEAN PARKWAY11218
(40.649225679206, -73.975748310895)",11218,40.648884,-73.975607,7,39,500,3124019,3053190001,Windsor Terrace                                                            
After-School Programs,Beacon,PS 1,Brooklyn,SCO Family of Services,718.492.2619,6 and up,"309 47th Street11220
(40.649194277667, -74.012497228156)",11220,40.649042,-74.012289,7,38,80,3011821,3007550022,Sunset Park West                                                           
After-School Programs,Out of School Time,P.S. 1 P.S. 1 - BERGEN SCHOOL,Brooklyn,SCO Family of Services,(718) 788-3500,Elem/MS,"309 47th Street11220
(40.649194277667, -74.012497228156)",11220,40.649042,-74.012289,7,38,80,3011821,3007550022,Sunset Park West                                                           
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Sunset Park Center,Brooklyn,THEATRE ARTS PRODUCTION COMPANY SCHOOL (X225),(718) 630-7171,Seniors,"4520 4th Avenue11220
(40.649209874864, -74.009875848067)",11220,40.649111,-74.009845,7,38,80,3324373,3007460039,Sunset Park West                                                           
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Flatbush Club (middle school),Brooklyn,Madison Square Boys & Girls Club,(718) 462-6100,OST,"2245 Bedford Avenue11226
(40.649137318601, -73.955760550637)",11226,40.649122,-73.955765,17,40,794,3117297,3051070008,Erasmus                                                                    
After-School Programs,Out of School Time,Flatbush Club (high school),Brooklyn,Madison Square Boys & Girls Club,(718) 462-6100,High School,"2245 Bedford Avenue11226
(40.649137318601, -73.955760550637)",11226,40.649122,-73.955765,17,40,794,3117297,3051070008,Erasmus                                                                    
After-School Programs,Out of School Time,Flatbush Club (middle school),Brooklyn,Madison Square Boys & Girls Club,(718) 462-6100,Middle School,"2245 Bedford Avenue11226
(40.649137318601, -73.955760550637)",11226,40.649122,-73.955765,17,40,794,3117297,3051070008,Erasmus                                                                    
"Family Support,NDA Programs",Healthy Families,CAMBA Healthy Families,Brooklyn,Mercy House,(718) 287-2600,,"2103 Kenmore Terrace11226
(40.649206680097, -73.95941921452)",11226,40.649181,-73.95962,14,40,51002,3117217,3051020143,Flatbush                                                                   
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 249 - The Caton School,Brooklyn,"CAMBA, Inc.",718-282-5575,A parent 16 Years Old or Older,"18 Marlborough Road11226
(40.649842155595, -73.966096176019)",11226,40.64971,-73.966046,14,40,506,3116438,3050750001,Flatbush                                                                   
After-School Programs,Out of School Time,P.S. 249 CATON SCHOOL,Brooklyn,CAMBA  ,(347) 581-4662,Elementary,"18 Marlborough Road11226
(40.649842155595, -73.966096176019)",11226,40.64971,-73.966046,14,40,506,3116438,3050750001,Flatbush                                                                   
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A CO,Brooklyn,High School for Dual Language and Asian Studies,(718) 951-5015,High School,"911 FLATBUSH AVENUE11226
(40.649532936565, -73.958457559936)",11226,40.649787,-73.95855,14,40,794,3336215,3051030010,Erasmus                                                                    
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Erasmus H.S. of Service Learning,Brooklyn,Jacob Riis Neighborhood Settlement House,(718) 859-3800,Middle School,"911 Flatbush Avenue11226
(40.649532936565, -73.958457559936)",11226,40.649787,-73.95855,14,40,794,3336215,3051030010,Erasmus                                                                    
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,CAMBA,Brooklyn,CAMBA,(718) 940-1737 x 424,16+,"885 Flatbush Avenue11226
(40.6503755945, -73.958664777259)",11226,40.650229,-73.958658,14,40,794,3117223,3051030028,Erasmus                                                                    
"Immigration Services,Immigrant Support Services",Legal Assistance Program,CAMBA,Brooklyn,"CAMBA, Inc.",718-940-6311 ,All Ages,"2211 Church Av11226
(40.650446866784, -73.95854532388)",11226,40.650424,-73.958175,14,40,79602,3116881,3050890071,Prospect Lefferts Gardens-Wingate                                          
"After-School Programs,Jobs & Internships,Youth Employment",Out-of-School Youth Employment (OSY),"Church Avenue Merchants Block Association, Inc.",Brooklyn,Church Avenue Merchant Block Association,718.462.4244,16 to 21,"2211 Church Avenue11226
(40.650446866784, -73.95854532388)",11226,40.650424,-73.958175,14,40,79602,3116881,3050890071,Prospect Lefferts Gardens-Wingate                                          
"Jobs & Internships,Youth Employment",Summer Youth Employment ,SCO Family of Services,Brooklyn,SCO Family of Services,718-788-3500 ,14 to 24,"345 43rd Street11232
(40.651038320789, -74.009513156888)",11232,40.651013,-74.009514,7,38,82,3337160,3007230025,Sunset Park West                                                           
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),SCO Family Services/Center for Family Life,Brooklyn,SCO Family of Services,516.671.1253,High School,"345 43rd Street11232
(40.651038320789, -74.009513156888)",11232,40.651013,-74.009514,7,38,82,3337160,3007230025,Sunset Park West                                                           
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),"Sesame Flyers International, Inc.",Brooklyn,"Sesame Flyers International, Inc.",718.693.0500,High School,"3510 Church Avenue11203
(40.651046066177, -73.944640167627)",11203,40.651066,-73.944555,17,45,856,3109467,3048890004,East Flatbush-Farragut                                                     
After-School Programs,Out of School Time,Sesame Flyers Int.,Brooklyn,"Sesame Flyers International, Inc.",(718) 693-0500,High School,"3510 Church Avenue11203
(40.651046066177, -73.944640167627)",11203,40.651066,-73.944555,17,45,856,3109467,3048890004,East Flatbush-Farragut                                                     
After-School Programs,Out of School Time,M.S. 136 M.S. 136 - CHARLES O.,Brooklyn,SCO Family of Services,(718) 788-3500,MS/HS,"4004 Fourth Avenue11232
(40.652089908533, -74.006885108331)",11232,40.651977,-74.006862,7,38,82,3010580,3007130020,Sunset Park West                                                           
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Middle School 136,Brooklyn,Educational Counseling Center,(718) 788-3500,Middle School,"4004 Fourth Avenue11232
(40.652089908533, -74.006885108331)",11232,40.651977,-74.006862,7,38,82,3010580,3007130020,Sunset Park West                                                           
After-School Programs,Teen Action Program,IS 136 Charles O. Dewey,Brooklyn,SCO Family of Services,718.633.4823,13 to 21,"4004 Fourth Avenue11232
(40.652089908533, -74.006885108331)",11232,40.651977,-74.006862,7,38,82,3010580,3007130020,Sunset Park West                                                           
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Junior High School 136 - Charles O. Dewey,Brooklyn,SCO Family of Services,516.671.1253,High School,"4004 4th Avenue11232
(40.652089908533, -74.006885108331)",11232,40.651977,-74.006862,7,38,82,3010580,3007130020,Sunset Park West                                                           
After-School Programs,Out of School Time,P.S. 24 P.S. 24,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 469-4395,Elementary,"427 38th Street11232
(40.652805717328, -74.004895763319)",11232,40.652701,-74.004743,7,38,84,3346119,3007010001,Sunset Park West                                                           
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 135 SHELDON BROOKNER SCHOOL,Brooklyn,Episcopal Social Services,(718) 282-3143,Elementary,"684 Linden Blvd11203
(40.653578123344, -73.933118105713)",11203,40.65364,-73.933114,17,41,870,3102005,3046730001,East Flatbush-Farragut                                                     
